Crop,NDB Number,Average Nutrient Rank,Protein (g),Protein Rank,Fiber (g),Fiber Rank,Vitamin A (μg),Vitamin A (μg) Rank,Vitamin C (mg),Vitamin C (mg) Rank,Vitamin E (mg),Vitamin E (mg) Rank,Calcium (mg),Calcium (mg) Rank,Iron (mg),Iron (mg) Rank,Magnesium (mg),Magnesium (mg) Rank,Potassium (mg),Potassium (mg) Rank,Saturated Fat (g),Saturated Fat Rank,Sodium (mg),Sodium (mg) Rank,Water Footprint Rank_x,2004-2015 Average Price ($USD/tonne),2004-2015 Average Price (rank),2014 Total Value ($USD),2014 Production (tonnes),2014 Water Footprint (cubic meters),2014 Value: Water Footprint Ratio,1996-2005 Average Water Footprint (cubic meters/tonne),Water Footprint Rank_y
Almonds,12061,13.3,21.2,1,12.5,1.0,0.0,40.0,0.0,42,25.6,1.0,268.6,1.0,3.7,3.0,270.0,1.0,733.0,2,3.8,41,1.0,13.0,43,8265,1,7611860700,1039884,12248679290,0.621,12984,45
Apples,9003,30.2,0.3,43,2.4,17.0,3.2,27.0,4.6,33,0.2,25.0,6.4,37.0,0.1,41.0,4.8,42.0,107.2,41,0.0,16,0.8,10.0,22,786,22,99243300,172592,70770939,1.402,452,23
Apricots,9021,18.1,1.4,15,2.0,25.0,96.1,7.0,10.0,19,0.9,8.0,12.9,28.0,0.4,22.0,10.3,29.0,258.7,18,0.0,13,1.3,15.0,33,1065,16,71955800,86393,78217685,0.92,998,35
Artichokes,11007,14.7,3.3,8,5.4,6.0,1.3,32.5,11.7,18,0.2,22.0,44.0,9.0,1.3,9.0,60.0,6.0,370.0,8,0.0,1,94.0,42.0,29,1389,13,48167260,33046,23653301,2.036,789,31
Asparagus,11011,18.0,2.2,11,2.1,24.0,38.1,10.0,5.6,31,1.1,6.0,23.9,20.0,2.1,7.0,14.2,18.0,202.2,23,0.0,24,2.2,24.0,39,2427,6,61056388,23387,56117208,1.088,2645,41
Blueberries,9050,26.5,0.7,34,2.4,16.0,2.7,30.0,9.7,20,0.6,15.0,6.1,39.0,0.3,32.0,6.1,41.0,77.0,42,0.0,14,0.7,9.0,28,5879,2,120622800,22437,13718940,8.792,674,30
Broccoli,11090,14.0,2.8,10,2.6,14.0,30.7,11.0,89.2,2,0.8,10.0,46.6,8.0,0.7,14.0,20.5,13.0,315.9,12,0.0,22,33.0,38.0,17,675,24,412776790,454000,121911149,3.386,296,17
Cabbage,11109,20.5,1.3,17,2.5,15.0,4.5,24.0,36.6,9,0.1,27.0,40.4,10.0,0.5,19.0,12.4,22.0,169.7,30,0.0,18,18.0,34.0,15,359,38,127380120,369680,96250659,1.323,287,15
Cantaloupe,9181,26.5,0.8,32,0.9,39.0,169.2,6.0,36.7,8,0.1,36.0,9.0,35.0,0.2,37.0,12.2,23.0,267.3,16,0.1,28,16.0,32.0,7,353,39,152852800,455832,74434312,2.054,180,7
Carrots,11124,20.2,0.9,27,2.8,12.0,834.5,1.0,5.9,29,0.7,14.0,32.7,15.0,0.3,29.5,11.8,25.0,320.0,11,0.0,19,69.1,40.0,2,332,41,40881000,200200,22339068,1.83,123,2
Cauliflower,11135,23.8,1.9,13,2.0,27.0,0.0,40.0,48.2,7,0.1,33.0,22.4,22.0,0.4,20.0,15.0,17.0,299.1,14,0.1,32,29.9,37.0,17,950,20,197891000,182381,48974179,4.041,296,17
Cherries,9070,23.5,1.1,24,2.1,21.0,2.9,29.0,7.0,26,0.1,34.0,13.0,27.0,0.4,24.0,10.9,27.0,221.7,22,0.0,20,0.0,4.5,36,3833,5,185487640,40325,60324106,3.075,1649,38
Corn,11167,23.4,3.3,7,2.3,19.0,9.0,21.0,6.8,27,0.1,32.0,2.0,43.0,0.5,18.0,37.0,7.0,270.0,15,0.3,37,15.0,31.0,23,504,33,85109400,167589,76169148,1.117,501,24
Cucumbers,11205,27.7,0.7,37,0.5,41.5,5.0,23.0,2.8,36,0.0,38.0,16.0,24.0,0.3,29.5,13.0,20.5,147.0,34,0.0,2,1.7,19.0,21,777,23,17505740,34189,12809504,1.367,413,22
Figs,9089,22.0,0.8,33,2.9,11.0,7.1,22.0,2.1,38,0.1,31.0,35.7,13.0,0.4,26.0,17.9,14.0,232.1,20,0.1,30,0.0,4.5,34,1920,9,31027690,13409,12346910,2.513,1015,36
Garlic,11215,19.6,6.3,6,2.1,22.5,0.0,40.0,31.2,11,0.0,42.5,181.0,2.0,1.7,8.0,25.0,9.5,400.0,7,0.1,34,17.0,33.0,19,979,19,246155790,194362,67002471,3.674,380,20
Grapefruit,9111,24.9,0.6,39,1.1,36.0,46.1,8.0,34.4,10,0.1,28.0,12.2,29.0,0.1,43.0,7.8,37.0,139.1,36,0.0,3,0.0,4.5,8,558,30,77737200,139348,25535712,3.044,202,8
Honeydew,9184,32.0,0.5,41,0.8,40.0,2.9,28.0,18.0,15,0.0,40.0,5.9,41.0,0.2,39.0,10.0,31.0,228.2,21,0.0,21,18.2,35.0,7,377,35,48209000,111958,18281991,2.637,180,7
Kiwifruit,9148,15.8,1.1,20,3.0,10.0,4.0,25.0,92.7,1,1.5,5.0,33.9,14.0,0.3,28.0,16.9,15.0,311.9,13,0.0,17,2.8,26.0,30,1357,14,121531200,75157,54340499,2.236,797,32
Lemons,9150,23.1,1.1,22,2.8,13.0,0.9,35.0,53.0,6,0.2,26.0,25.9,18.0,0.6,17.0,8.0,36.0,138.2,37,0.0,23,1.9,21.0,10,670,26,736076600,733330,148354313,4.962,223,10
Lettuce,11253,19.2,1.3,16,1.3,34.0,370.0,5.0,9.2,22,0.2,23.0,36.0,12.0,0.8,11.0,13.0,20.5,194.0,25,0.0,7,28.0,36.0,1,370,36,927094000,1812290,184137218,5.035,112,1
Nectarines,9091,23.3,1.1,23,1.7,30.0,16.8,17.0,5.4,32,0.8,11.0,6.3,38.0,0.3,31.0,9.1,34.5,200.7,24,0.0,11,0.0,4.5,26,1572,11,302243300,209800,119906270,2.521,630,28
Oats,20038,18.8,16.9,3,10.6,2.5,0.0,40.0,0.0,42,0.0,42.5,54.0,7.0,4.7,1.0,177.0,2.0,429.0,5,1.2,39,2.0,23.0,40,220,44,2646800,14440,35421728,0.075,2704,42
Olives,9193,24.9,0.9,30,3.2,7.0,20.3,14.0,0.9,40,1.7,4.0,88.0,6.0,3.3,4.0,4.0,43.0,8.0,43,1.4,40,735.0,43.0,35,1042,18,104516500,129555,126227599,0.828,1074,37
Onions,11282,29.9,1.1,21,1.7,29.0,0.0,40.0,7.4,25,0.0,39.0,23.1,21.0,0.2,36.0,10.0,31.0,146.3,35,0.0,25,3.8,27.0,4,407,34,345086930,1222946,164196864,2.102,148,4
Oranges,9200,19.3,0.9,26,2.4,18.0,11.1,19.0,53.2,5,0.2,24.0,40.0,11.0,0.1,42.0,10.0,31.0,181.1,28,0.0,4,0.0,4.5,9,516,32,1215176100,1732575,344216765,3.53,219,9
Peaches,9326,24.5,0.9,29,1.5,31.0,16.2,18.0,6.6,28,0.7,12.0,5.8,42.0,0.2,34.0,9.1,34.5,190.3,27,0.0,9,0.0,4.5,26,523,31,309511500,426520,243767504,1.27,630,28
Pears,9252,29.5,0.4,42,3.1,9.0,1.3,32.5,4.3,34,0.1,30.0,9.3,34.0,0.2,38.0,6.7,40.0,116.0,38,0.0,10,1.3,17.0,18,674,25,80078000,154502,50738607,1.578,362,19
Peppers,11333,23.1,0.9,28,1.7,28.0,18.0,15.0,80.4,3,0.4,17.0,10.0,31.5,0.4,23.0,10.7,28.0,175.0,29,0.0,27,2.7,25.0,11,641,27,308687520,471450,98369245,3.138,230,11
Pistachios,12151,10.4,20.2,2,10.6,2.5,26.0,13.0,5.6,30,2.9,2.0,105.0,3.0,4.0,2.0,121.0,4.0,1025.0,1,5.9,42,1.0,13.0,41,4662,4,1650705000,273372,845676514,1.952,3410,43
Plums,9279,28.7,0.7,36,1.4,32.0,17.0,16.0,9.5,21,0.3,20.0,6.1,40.0,0.2,40.0,7.3,39.0,157.0,31,0.2,36,0.0,4.5,32,1574,10,245025900,197508,164663015,1.488,919,34
Potatoes,11352,21.0,2.0,12,2.1,22.5,0.0,40.0,19.7,14,0.0,41.0,11.8,30.0,0.8,13.0,22.9,11.0,421.2,6,0.0,12,5.9,30.0,38,346,40,179694670,719431,1102337693,0.163,1689,40
Pumpkins,11422,19.6,1.0,25,0.5,41.5,426.0,4.0,9.0,23,1.1,7.0,21.0,23.0,0.8,11.0,12.0,24.0,340.0,9,0.1,35,1.0,13.0,14,311,43,24940900,69937,17511040,1.424,276,14
Raspberries,9302,15.9,1.2,19,6.5,5.0,1.6,31.0,26.2,13,0.9,9.0,25.2,19.0,0.7,15.0,22.0,12.0,151.2,33,0.0,8,0.8,11.0,20,5216,3,462129000,84040,29199854,15.826,383,21
Rice,20444,26.8,7.1,5,1.3,33.0,0.0,40.0,0.0,42,0.0,37.0,28.0,17.0,0.8,11.0,25.0,9.5,115.0,39,0.1,33,5.0,28.5,37,368,37,846270000,1983390,2968847734,0.285,1650,39
Spinach,11457,12.5,2.9,9,2.2,20.0,470.0,3.0,28.0,12,2.0,3.0,100.0,4.0,2.7,6.0,80.0,5.0,556.7,3,0.1,31,80.0,41.0,5,1063,17,19861000,15704,2535865,7.832,178,5
Squash,11641,22.9,1.2,18,1.1,37.0,9.7,20.0,17.0,16,0.1,29.0,15.0,26.0,0.4,27.0,16.8,16.0,261.9,17,0.0,26,1.8,20.0,14,608,28,29199700,40271,10083176,2.896,276,14
Strawberries,9316,21.7,0.7,38,2.0,26.0,1.3,34.0,58.8,4,0.3,19.0,15.8,25.0,0.4,21.0,13.2,19.0,153.3,32,0.0,5,1.3,16.0,3,2024,8,1834816000,942472,115424522,15.896,135,3
