Crop,2004-2015 Average Price ($USD/tonne),2004-2015 Average Price (rank),2014 Total Value ($USD),2014 Production (tonnes),2014 Water Footprint (cubic meters),2014 Value: Water Footprint Ratio,1996-2005 Average Water Footprint (cubic meters/tonne),Water Footprint Rank
Alfalfa Hay,177,45,1518159000,6220190,1822644770,0.833,323,18
Almonds,8265,1,7611860700,1039884,12248679290,0.621,12984,45
Apples,786,22,99243300,172592,70770939,1.402,452,23
Apricots,1065,16,71955800,86393,78217685,0.92,998,35
Artichokes,1389,13,48167260,33046,23653301,2.036,789,31
Asparagus,2427,6,61056388,23387,56117208,1.088,2645,41
Blueberries,5879,2,120622800,22437,13718940,8.792,674,30
Broccoli,675,24,412776790,454000,121911149,3.386,296,17
Cabbage,359,38,127380120,369680,96250659,1.323,287,15
Cantaloupe,353,39,152852800,455832,74434312,2.054,180,7
Carrots,332,41,40881000,200200,22339068,1.83,123,2
Cauliflower,950,20,197891000,182381,48974179,4.041,296,17
Cherries,3833,5,185487640,40325,60324106,3.075,1649,38
Corn,504,33,85109400,167589,76169148,1.117,501,24
Cucumbers,777,23,17505740,34189,12809504,1.367,413,22
Figs,1920,9,31027690,13409,12346910,2.513,1015,36
Garlic,979,19,246155790,194362,67002471,3.674,380,20
Grapefruit,558,30,77737200,139348,25535712,3.044,202,8
Grapes Table,1517,12,2445158000,1466000,692895202,3.529,521,26
Grapes Wine,1219,15,3453121000,3881717,1834667862,1.882,521,26
Honeydew,377,35,48209000,111958,18281991,2.637,180,7
Kiwifruit,1357,14,121531200,75157,54340499,2.236,797,32
Lemons,670,26,736076600,733330,148354313,4.962,223,10
Lettuce,370,36,927094000,1812290,184137218,5.035,112,1
Nectarines,1572,11,302243300,209800,119906270,2.521,630,28
Oats,220,44,2646800,14440,35421728,0.075,2704,42
Olives,1042,18,104516500,129555,126227599,0.828,1074,37
Onions,407,34,345086930,1222946,164196864,2.102,148,4
Oranges,516,32,1215176100,1732575,344216765,3.53,219,9
Peaches,523,31,309511500,426520,243767504,1.27,630,28
Pears,674,25,80078000,154502,50738607,1.578,362,19
Peppers,641,27,308687520,471450,98369245,3.138,230,11
Pistachios,4662,4,1650705000,273372,845676514,1.952,3410,43
Plums,1574,10,245025900,197508,164663015,1.488,919,34
Potatoes,346,40,179694670,719431,1102337693,0.163,1689,40
Pumpkins,311,43,24940900,69937,17511040,1.424,276,14
Raspberries,5216,3,462129000,84040,29199854,15.826,383,21
Rice,368,37,846270000,1983390,2968847734,0.285,1650,39
Spinach,1063,17,19861000,15704,2535865,7.832,178,5
Squash,608,28,29199700,40271,10083176,2.896,276,14
Strawberries,2024,8,1834816000,942472,115424522,15.896,135,3
Sweet Potatoes,589,29,243541000,305400,226353362,1.076,817,33
Tomatoes,894,21,354707000,521350,302222015,1.174,639,29
Walnuts,2126,7,2356584000,674200,4108890885,0.574,6718,44
Watermelon,314,42,108088100,316994,66429179,1.627,231,12
