Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (Kg),2014 Total Vitamin C (Kg),2014 Total Vitamin E (Kg),2014 Total Calcium (Kg),2014 Total Iron (Kg),2014 Total Magnesium (Kg),2014 Total Potassium (Kg),2014 Total Saturated Fat (Kg),2014 Total Sodium (Kg),%2014 Water Footprint (cubic meters),%2014 Total Value ($USD),%2014 Total Protein (Kg),%2014 Total Fiber (Kg),%2014 Total Vitamin A (Kg),%2014 Total Vitamin C (Kg),%2014 Total Vitamin E (Kg),%2014 Total Calcium (Kg),%2014 Total Iron (Kg),%2014 Total Magnesium (Kg),%2014 Total Potassium (Kg),%2014 Total Saturated Fat (Kg),%2014 Total Sodium (Kg),Mean % Total Nutrient
Almonds,12248679290,7611860700,22045.540800000002,12998.55,0.0,0.0,26.621030400000002,279.3128424,3.8475708,280.76868,762.234972,3951.5591999999997,1.039884,49.675493897096125,33.91470426365676,32.35017215460289,26.953680962243272,0.0,0.0,84.62657594048565,35.905376541641175,26.345303563078716,43.851093868266204,17.913145565198334,37.96014178541773,0.41266751389588363,27.847105263166352
Apples,70770939,99243300,51.7776,414.2208,0.0005522944000000001,0.7939231999999999,0.034518400000000005,1.1045888000000001,0.017259200000000002,0.8284416,18.501862400000004,0.0,0.13807360000000002,0.2870171767217739,0.4421792912801684,0.07597973163589467,0.8589246716845479,0.04287319284874942,0.2024409218315129,0.10973181560034806,0.14199374596203523,0.11817816666450638,0.12938790169180067,0.4348089061419631,0.0,0.05479312043136993,0.1971920158629753
Apricots,78217685,71955800,120.9502,172.786,0.0083023673,0.86393,0.0777537,1.1144697,0.0345572,0.8898479,22.3498691,0.0,0.1123109,0.3172180479110648,0.32059962382848556,0.1774853167645427,0.3582875565922481,0.6444914059495279,0.22029181865185316,0.2471741062924348,0.14326392542110292,0.23662200687509732,0.13897847791064002,0.5252402123467883,0.0,0.04456945186810182,0.24876402533384886
Artichokes,23653301,48167260,109.05179999999999,178.44840000000002,4.29598e-05,0.38663819999999993,0.006609200000000001,1.454024,0.042959800000000006,1.98276,12.22702,0.0,3.106324,0.09592784508865018,0.21460959973829571,0.1600253101420548,0.3700290603046319,0.0033348587096731475,0.09858811736862816,0.021010229780807348,0.18691327893122062,0.29415676301762894,0.30967198648454486,0.2873449751510369,0.0,1.232713458842637,0.2694352762484421
Asparagus,56117208,61056388,51.4514,49.112700000000004,0.0008910447,0.1309672,0.0257257,0.5589493,0.0491127,0.3320954,4.728851399999999,0.0,0.0514514,0.2275878041644826,0.27203720930246156,0.07550105768307282,0.10183967034741301,0.06916950680643524,0.03339506982248676,0.08178037709134472,0.07185235348199928,0.33628724656669495,0.05186741825555261,0.11113187743423548,0.0,0.020417970970283864,0.08665841349631988
Blueberries,13718940,120622800,15.7059,53.8488,6.05799e-05,0.2176389,0.013462199999999999,0.13686569999999998,0.006731099999999999,0.13686569999999998,1.727649,0.0,0.0157059,0.055638253244250625,0.5374358190047035,0.02304722635078099,0.11166040638376168,0.004702661724359245,0.055495316854824825,0.042795484378621414,0.017593943951555654,0.04608956716623359,0.021375997700476993,0.04060116520417189,0.0,0.00623272856058691,0.033599499843215745
Broccoli,121911149,412776790,1271.2,1180.4,0.0139378,40.4968,0.3632,21.1564,0.3178,9.307,143.4186,0.0,14.982,0.4944203693113004,1.8391301826833943,1.8653903397521185,2.447667240410043,1.0819555427092862,10.326199717083986,1.1545898832520167,2.719633303425856,2.1760580656102326,1.4535885221669083,3.370454456866555,0.0,5.945456121248262,2.958272108411387
Cabbage,96250659,127380120,480.584,924.2,0.00166356,13.530288,0.036968,14.935072,0.18484,4.584032,62.73469599999999,0.0,6.65424,0.39035220945408394,0.567543110565477,0.7052208551285652,1.9164131341807538,0.12913788134637172,3.4500616374050503,0.11751893943849269,1.9198880338934317,1.265646862326606,0.7159445901413791,1.4743166906758844,0.0,2.640668264601191,1.3031651717397932
Cantaloupe,74434312,152852800,364.66560000000004,410.24879999999996,0.07712677439999999,16.7290344,0.045583200000000004,4.102488,0.09116640000000001,5.5611504,121.84389360000002,45.583200000000005,7.293312,0.30187427754021545,0.6810368334606903,0.5351193262113831,0.8506883668057704,5.987152997845332,4.265703717043526,0.14490611664717326,0.527370582504818,0.6242397106124881,0.8685531741145277,2.863431202271493,0.43788910843928497,2.8942775647158867,1.8181210788374258
Carrots,22339068,40881000,180.18,560.56,0.1670669,1.18118,0.14014,6.546540000000001,0.06006,2.36236,64.064,0.0,13.833819999999998,0.09059786853973668,0.18214561191359585,0.2644005911080371,1.162372372318073,12.968973472015529,0.30118677480258343,0.4454962176182202,0.8415509352351772,0.4112462159236959,0.3689587816940171,1.505556422421492,0.0,5.489812428196945,2.1599594737576155
Cauliflower,48974179,197891000,346.52389999999997,364.762,0.0,8.790764200000002,0.018238100000000004,4.0853344,0.07295240000000001,2.735715,54.5501571,18.238100000000003,5.453191899999999,0.19861868144559713,0.8817048821504707,0.5084977466592425,0.7563673313677127,0.0,2.2415397462266657,0.05797776913474286,0.5251655049947669,0.4995237835922717,0.42727021853656855,1.2819733292645847,0.17520194608159417,2.1640443974233374,0.7852328884801352
Cherries,60324106,185487640,44.3575,84.6825,0.0001169425,0.282275,0.0040325,0.524225,0.01613,0.4395425,8.9400525,0.0,0.0,0.24464921388686142,0.8264416156700858,0.06509129326270816,0.17559690027619745,0.009077945303654859,0.0719767494009374,0.012819063062262544,0.06738858068898392,0.11044624480268422,0.06864875180020934,0.21009854923452043,0.0,0.0,0.07192218889383256
Corn,76169148,85109400,553.0437,385.45469999999995,0.001508301,1.1396051999999999,0.0167589,0.335178,0.0837945,6.200793,45.24903,50.2767,2.513835,0.3089100430370572,0.37920559043563007,0.8115500121466085,0.799275535286412,0.11708552476172418,0.2905856979768139,0.053275485667489596,0.04308678467866326,0.5737624215820535,0.9684540166684118,1.0633892314691988,0.48297660844937157,0.9975901540887816,0.5637301338886844
Cucumbers,12809504,17505740,23.932299999999998,17.0945,0.000170945,0.0957292,0.0,0.547024,0.010256699999999999,0.444457,5.025783,0.0,0.058121299999999994,0.051949963152054114,0.07799696006213916,0.03511884929833986,0.03544700748999447,0.013270020394067855,0.024409801217791932,0.0,0.07031936852078922,0.07023025412694923,0.0694163096375564,0.11811001300803498,0.0,0.023064853748491966,0.04176240704018327
