Crop,2014 Water Footprint (cubic meters),2014 Total Value ($USD),2014 Total Protein (Kg),2014 Total Fiber (Kg),2014 Total Vitamin A (mg),2014 Total Vitamin C (g),2014 Total Vitamin E (g),2014 Total Calcium (g),2014 Total Iron (g),2014 Total Magnesium (g),2014 Total Potassium (g),2014 Total Saturated Fat (Kg),2014 Total Sodium (g),2014 Total Protein (Kg)/m3_of_water,2014 Total Fiber (Kg)/m3_of_water,2014 Total Vitamin A (mg)/m3_of_water,2014 Total Vitamin C (g)/m3_of_water,2014 Total Vitamin E (g)/m3_of_water,2014 Total Calcium (g)/m3_of_water,2014 Total Iron (g)/m3_of_water,2014 Total Magnesium (g)/m3_of_water,2014 Total Potassium (g)/m3_of_water,2014 Total Saturated Fat (Kg)/m3_of_water,2014 Total Sodium (g)/m3_of_water
Almonds,12248679290,7611860700,220455408.0,129985500.0,0.0,0.0,266210304.0,2793128424.0,38475708.00000001,2807686800.0,7622349719.999999,39515592.0,10398840.000000002,0.017998300288585643,0.010612205358835875,0.0,0.0,0.02173379657489587,0.2280350687506653,0.0031412127862154196,0.2292236357508549,0.6222997222421356,0.003226110429086106,0.0008489764287068701
Apples,70770939,99243300,517776.00000000006,4142208.0000000005,5522944.0,7939232.0,345184.0,11045888.0,172592.0,8284415.999999998,185018624.00000003,0.0,1380736.0,0.007316223400681459,0.05852978720545167,0.07803971627393555,0.11218209214378234,0.004877482267120972,0.1560794325478711,0.002438741133560486,0.1170595744109033,2.614330495176841,0.0,0.019509929068483887
Apricots,78217685,71955800,1209502.0,1727860.0000000002,83023672.99999999,8639300.0,777537.0,11144696.999999998,345572.0,8898479.0,223498690.99999997,0.0,1123109.0,0.01546328045888855,0.022090400655555075,1.061443751499421,0.11045200327777535,0.009940680294999782,0.14248308422833017,0.004418080131111014,0.11376556337610862,2.857393324796048,0.0,0.014358760426110796
Artichokes,23653301,48167260,1090518.0,1784484.0000000002,429598.0,3866381.9999999995,66092.0,14540239.999999998,429598.0,19827599.999999996,122270200.0,0.0,31063240.0,0.046104262572061294,0.07544333875428214,0.01816228525566051,0.16346056730094458,0.0027941977316400784,0.6147235009608172,0.01816228525566051,0.8382593194920234,5.169265803534145,0.0,1.3132729338708369
Asparagus,56117208,61056388,514514.0,491127.0,8910447.0,1309672.0,257257.0,5589492.999999999,491127.00000000006,3320953.9999999995,47288514.0,0.0,514514.0,0.009168560203494087,0.008751807466971628,0.15878279261505668,0.023338153245257676,0.0045842801017470436,0.09960390402886757,0.00875180746697163,0.059178888586189096,0.8426740332484111,0.0,0.009168560203494087
Blueberries,13718940,120622800,157059.0,538488.0,605799.0,2176389.0,134622.0,1368656.9999999998,67311.0,1368656.9999999998,17276490.0,0.0,157059.0,0.011448333471827998,0.039251429046267425,0.04415785767705085,0.15864119239533084,0.009812857261566856,0.09976404882592968,0.004906428630783428,0.09976404882592968,1.25931668190108,0.0,0.011448333471827998
Broccoli,121911149,412776790,12711999.999999998,11804000.000000002,139378000.0,404968000.0,3631999.9999999995,211564000.00000003,3178000.0,93070000.0,1434185999.9999998,0.0,149820000.0,0.1042726617234983,0.09682461445753417,1.1432752553254995,3.321829080620018,0.029792189063856656,1.7353950129696507,0.02606816543087458,0.763424844761327,11.764190656590397,0.0,1.2289277988840872
Cabbage,96250659,127380120,4805840.0,9242000.0,16635600.0,135302880.00000003,369680.0,149350720.0,1848400.0,45840320.00000001,627346960.0,0.0,66542400.0,0.049930463333243254,0.09602012179469857,0.17283621923045742,1.4057345830743873,0.003840804871787943,1.551685168202329,0.019204024358939715,0.476259804101705,6.517845867424139,0.0,0.6913448769218297
Cantaloupe,74434312,152852800,3646656.0,4102488.0000000005,771267744.0,167290344.0,455831.99999999994,41024879.99999999,911663.9999999999,55611503.99999999,1218438936.0000002,455832.0,72933120.0,0.0489915994655798,0.05511554939877728,10.361723286970127,2.2474896254834733,0.006123949933197474,0.5511554939877726,0.012247899866394948,0.7471218918500918,16.369318171436852,0.006123949933197475,0.979831989311596
Carrots,22339068,40881000,1801800.0000000002,5605599.999999999,1670668999.9999998,11811800.000000002,1401400.0,65465400.0,600599.9999999999,23623600.000000004,640640000.0,0.0,138338200.0,0.08065690117421194,0.2509325814308815,74.78687114431094,0.5287507965865005,0.06273314535772039,2.9305340759963667,0.026885633724737304,1.057501593173001,28.67800930638646,0.0,6.192657634597826
